,title,subtitle,link
62,Why Erling Haaland is currently most transferred-out player ahead of Gameweek 22,No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/33021421/erling-haaland-transfers-out-fantasy-football-form-replacements/
63,James Maddison's unexpected absent scuppers Dream Team bosses in Gameweek 21,No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/33029430/james-maddison-injury-tottenham-leicester-fantasy-football-transfers/
64,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
65,Inside Marcus Rashford's demise from huge football star to Utd's £60m problem,"EIGHTEEN months ago, having signed a contract worth £84.5million, it seemed Marcus Rashford could do no wrong.",https://www.thesun.co.uk/sport/33130426/marcus-rashford-manchester-united-problem-transfer/
66,Cheapest Premier League club to support home and away revealed,No subtitle found,https://www.thesun.co.uk/sport/33132029/cheapest-premier-league-club-brentford-football/
67,Premier League clash descends into farce as VAR asks ref to count players,No subtitle found,https://www.thesun.co.uk/sport/33143088/wolves-aston-villa-var-count-disallowed/
68,'This league is a joke' - Fans in disbelief as Liverpool awarded 'shocking' pen,No subtitle found,https://www.thesun.co.uk/sport/33138765/fans-slam-referee-gakpo-penalty-liverpool-bournemouth-var/
69,Newcastle star hit by racist abuse after defeat & tells thug 'hope you find God',No subtitle found,https://www.thesun.co.uk/sport/33144301/newcastle-star-joe-willock-vile-racist-abuse/
70,English football is not broken – Government are searching for problems,No subtitle found,https://www.thesun.co.uk/sport/33129924/karren-brady-independent-football-regulator-uefa/
71,Only Man City's meltdown has saved Champions League - new format has been awful,No subtitle found,https://www.thesun.co.uk/sport/33061795/man-city-champions-league-tv-format/
72,"Cantona kick was crazy... but stars are now robot clones, we need personalities",No subtitle found,https://www.thesun.co.uk/sport/32995433/premier-league-news-eric-cantona-kick-30-years/
