title,subtitle,link
Gunners close gap to Liverpool in spiky showdown,"ERLING HAALAND was force-fed humble pie in north London by an impassioned Arsenal performance. Revenge was sweet for that near-miss at the Etihad, when Arsenal’s ten men had staged the mother of all rearguard efforts to hold on to a 2-1 half-time lead only to be denied at the death.",https://www.thesun.co.uk/sport/33152627/arsenal-5-man-city-1-gunners-close-gap-liverpool/
Tottenham 'contact Villa about Bailey' as they battle Man Utd for shock deal,No subtitle found,https://www.thesun.co.uk/sport/33157798/man-utd-tottenham-aston-villa-leon-bailey-transfer/
Angry Henderson goes off at journalist after Ajax ace is grilled on Monaco move,No subtitle found,https://www.thesun.co.uk/sport/33155282/jordan-henderson-monaco-transfer-row-ajax-journalist/
How Arsenal's DJ brutally trolled Haaland seconds after Man City thrashed 5-1,No subtitle found,https://www.thesun.co.uk/sport/33153384/arsenal-dj-erling-haaland-man-city-premier-league/
"Win a Rolex plus £5k or £16,000 cash alternative from just 30p with our discount",No subtitle found,https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
Marcus Rashford releases 78-word statement after completing Aston Villa loan,No subtitle found,https://www.thesun.co.uk/sport/33157373/marcus-rashford-villa-loan-transfer-man-utd-statement/
Rashford told he will never play for Man Utd again while Amorim is manager,No subtitle found,https://www.thesun.co.uk/sport/33143782/marcus-rashford-man-utd-ruben-amorim-aston-villa/
Three reasons Rashford chose Aston Villa after expecting Euro giants move,No subtitle found,https://www.thesun.co.uk/sport/33144400/marcus-rashford-aston-villa-man-utd-ruben-amorim/
Kyle Walker's wife is no-show at AC Milan debut despite reuniting hrs before,"THE former Manchester City skipper, 34, was named in the starting line-up for the fierce derby match against arch rivals Inter.",https://www.thesun.co.uk/sport/33153252/kyle-walker-wife-annie-milan-debut-no-show/
Nottingham Forest terminate forgotten England star's contract,No subtitle found,https://www.thesun.co.uk/sport/33157656/james-ward-prowse-nottingham-forest-west-ham/
Walker makes AC Milan debut in huge clash vs Inter but it ends in heartbreak,No subtitle found,https://www.thesun.co.uk/sport/33149636/kyle-walker-milan-inter-debut-man-city/
'Man Utd were the problem' - Antony gets assist just 14 minutes into Betis debut,No subtitle found,https://www.thesun.co.uk/sport/33154423/antony-real-betis-man-utd-transfer-news/
Arteta opens door to Arsenal signing striker on transfer Deadline Day,No subtitle found,https://www.thesun.co.uk/sport/33147689/arsenal-transfer-news-new-striker-deadline-day-mikel-arteta/
Amorim's woeful side slip to 13th as Eagles pull off smash-and-grab win,MATETA'S second-half double sent the Red Devils to a fifth defeat in six home Prem games. And once again United were made to pay for blunders.,https://www.thesun.co.uk/sport/33149831/man-utd-0-2-crystal-palace-prem-report/
Diallo lone bright spark as Maguire dominated by Palace attack,No subtitle found,https://www.thesun.co.uk/sport/33148762/man-utd-player-ratings-palace/
Amorim confirms 'serious' damage as star stretchered off with knee injury,No subtitle found,https://www.thesun.co.uk/sport/33103477/lisandro-martinez-injury-updates-man-utd-crystal-palace-live/
Martinez in tears as he's stretchered off with 'serious' injury for Man Utd,No subtitle found,https://www.thesun.co.uk/sport/33150219/lisandro-martinez-injury-man-utd-crystal-palace/
Man Utd in talks over Villa ace who's regularly on bench to plug Rashford hole,No subtitle found,https://www.thesun.co.uk/sport/33148280/man-utd-transfer-aston-villa-rashford/
'Head is gone' - Guardiola's bizarre reaction over Lewis-Skelly mocking Haaland,"MAN CITY boss could not have cared less as he was told about Myles Lewis-Skelly's celebration. Guardiola, 54, has won six Premier League titles.",https://www.thesun.co.uk/sport/33158277/pep-guardiola-man-city-arsenal-lewis-skelly/
Fans reckon Gabriel told Haaland 'fetch my boot' as heated rivalry hits new peak,No subtitle found,https://www.thesun.co.uk/sport/33152747/gabriel-haaland-boot-rivalry-arsenal-man-city/
Lewis-Skelly thrives but Saliba's biggest flaw brutally exposed in win,No subtitle found,https://www.thesun.co.uk/sport/33146731/arsenal-player-ratings-manchester-city/
Fans think they know what Haaland said to Gabriel in cheeky taunt,No subtitle found,https://www.thesun.co.uk/sport/33157375/erling-haaland-gabriel-man-city-arsenal-taunting/
Haaland's dad trolls Arsenal in seven-word post after Gunners mock hitman,No subtitle found,https://www.thesun.co.uk/sport/33151935/erling-haaland-dad-alf-inge-arsenal-trolled-man-city/
